Categoria;Palabras clave;Frecuencia al interior del grupo;Frecuencia entre los grupos
Operativo;tarjetas;16;2
Ventas - Comercial - Administración;tarjetas;69;2
Practicantes - Aprendices;roldanillo;1;1
Operativo;microcredito;1;2
Ventas - Comercial - Administración;microcredito;55;2
Operativo;integrados;6;3
Gestión de Calidad;integrados;2;3
SST;integrados;1;3
Operativo;tocaima;1;2
Financiero;tocaima;1;2
Operativo;crudo;2;1
Operativo;dispensacion;21;1
Operativo;cogua;3;2
Gastronomia;cogua;1;2
Ventas - Comercial - Administración;de;12;10
Servicio al cliente;de;7;10
Diseño;de;1;10
Operativo;de;29;10
Project Manager;de;2;10
Talento TI;de;1;10
Contaduria;de;3;10
SST;de;1;10
Educación;de;2;10
Psicologia;de;2;10
Operativo;preparaciones;1;1
Operativo;pastoral;2;1
Operativo;verdes;1;2
Construcción;verdes;1;2
Practicantes - Aprendices;manera;1;3
Servicio al cliente;manera;7;3
Operativo;manera;1;3
Ventas - Comercial - Administración;dificil;2;1
Ventas - Comercial - Administración;ventas;3115;1
Servicio al cliente;comunitarios;1;1
Salud;aph;4;1
Operativo;club;1;2
Ventas - Comercial - Administración;club;1;2
Project Manager;navegador;1;2
Marketing;navegador;1;2
Talento TI;colaboradores;1;1
Operativo;plomeria;4;1
Ventas - Comercial - Administración;officenalista;4;1
Operativo;pipas;1;1
Ventas - Comercial - Administración;virtuales;2;3
Diseño;virtuales;1;3
Educación;virtuales;7;3
Talento TI;optimizacion;1;1
Contaduria;prestacion;1;4
Psicologia;prestacion;2;4
Servicio al cliente;prestacion;2;4
Salud;prestacion;2;4
Operativo;modista;4;1
Operativo;casita;1;1
Financiero;lopez;2;2
Operativo;lopez;5;2
Operativo;cuarto;17;1
Operativo;cmarca;1;1
Operativo;mariquita;1;2
Ventas - Comercial - Administración;mariquita;2;2
Operativo;enrutamiento;1;1
Operativo;opl;2;1
Servicio al cliente;impulsadora;1;3
Ventas - Comercial - Administración;impulsadora;1;3
Operativo;impulsadora;159;3
Operativo;despachador;73;2
Ventas - Comercial - Administración;despachador;1;2
Servicio al cliente;representate;1;2
Ventas - Comercial - Administración;representate;1;2
Practicantes - Aprendices;villeta;1;4
Construcción;villeta;1;4
Agropecuario;villeta;1;4
Operativo;villeta;2;4
Psicologia;bucaramanga;1;11
Logistica;bucaramanga;1;11
Contaduria;bucaramanga;2;11
Practicantes - Aprendices;bucaramanga;3;11
Financiero;bucaramanga;4;11
Salud;bucaramanga;2;11
Ventas - Comercial - Administración;bucaramanga;62;11
Operativo;bucaramanga;34;11
Educación;bucaramanga;9;11
Servicio al cliente;bucaramanga;12;11
Construcción;bucaramanga;2;11
Servicio al cliente;palmira;1;6
Talento TI;palmira;2;6
Operativo;palmira;37;6
Gestión de Calidad;palmira;1;6
Salud;palmira;3;6
Ventas - Comercial - Administración;palmira;20;6
Servicio al cliente;medellintecnicos;1;1
Project Manager;implementacion;11;4
Diseño;implementacion;5;4
Psicologia;implementacion;1;4
Talento TI;implementacion;7;4
Ventas - Comercial - Administración;dptal;2;1
Operativo;ads;1;1
Ventas - Comercial - Administración;responsabilidades;1;1
Operativo;pedidospresentate;1;1
Practicantes - Aprendices;alternativas;1;1
Marketing;sourcing;1;1
Ventas - Comercial - Administración;bancos;1;2
Operativo;bancos;1;2
Educación;portuarias;1;1
Ventas - Comercial - Administración;santander;9;3
Financiero;santander;2;3
Operativo;santander;2;3
Operativo;realizando;1;1
Ventas - Comercial - Administración;montacargas;2;2
Operativo;montacargas;195;2
Ventas - Comercial - Administración;comercialconsumo;1;1
Talento TI;acompañamiento;1;1
Ventas - Comercial - Administración;frontino;1;1
Salud;calificacion;1;1
Operativo;guarda;387;3
Servicio al cliente;guarda;2;3
Ventas - Comercial - Administración;guarda;9;3
Operativo;res;1;1
Operativo;keeway;1;1
Talento TI;tecnicorquitecto;1;1
Operativo;inalambrico;1;1
Salud;enfermeras;8;1
Operativo;mercaimpulsador;22;1
Operativo;logistco;1;1
Talento TI;dynamics;2;2
Contaduria;dynamics;2;2
Operativo;envasadora;5;1
Agropecuario;cauca;1;4
Salud;cauca;2;4
Operativo;cauca;2;4
Ventas - Comercial - Administración;cauca;10;4
Educación;catedratico;1;1
Talento TI;racks;1;3
Ventas - Comercial - Administración;racks;2;3
Operativo;racks;7;3
Operativo;logica;1;1
Ventas - Comercial - Administración;aniversario;3;1
Operativo;lavanderia;26;2
Gastronomia;lavanderia;2;2
Operativo;vertical;9;1
Operativo;davivienda;5;3
Ventas - Comercial - Administración;davivienda;2;3
Marketing;davivienda;1;3
Ventas - Comercial - Administración;zaragoza;1;1
Servicio al cliente;expereincia;1;1
Operativo;npr;25;1
Diseño;moviles;1;6
Talento TI;moviles;8;6
Operativo;moviles;1;6
Educación;moviles;1;6
Servicio al cliente;moviles;3;6
Ventas - Comercial - Administración;moviles;10;6
Operativo;hospitales;4;2
Salud;hospitales;3;2
Educación;bilingueprimera;1;1
Logistica;intermedio;2;8
Diseño;intermedio;1;8
Operativo;intermedio;8;8
Servicio al cliente;intermedio;2;8
Marketing;intermedio;1;8
Ventas - Comercial - Administración;intermedio;3;8
Talento TI;intermedio;5;8
Project Manager;intermedio;2;8
Ventas - Comercial - Administración;software;8;4
Talento TI;software;355;4
Contaduria;software;2;4
Diseño;software;1;4
Talento TI;drupal;4;1
Talento TI;aereos;1;1
Ventas - Comercial - Administración;apertura;1;1
Gestión de Calidad;antioqueño;1;5
Project Manager;antioqueño;1;5
Salud;antioqueño;1;5
Operativo;antioqueño;15;5
Ventas - Comercial - Administración;antioqueño;1;5
Operativo;logisto;1;1
Practicantes - Aprendices;auxiliar;49;20
Talento TI;auxiliar;31;20
Compras;auxiliar;86;20
Ventas - Comercial - Administración;auxiliar;204;20
Construcción;auxiliar;24;20
Project Manager;auxiliar;5;20
Juridicos;auxiliar;9;20
Salud;auxiliar;1043;20
Diseño;auxiliar;22;20
Educación;auxiliar;1;20
Agropecuario;auxiliar;11;20
Recursos Humanos;auxiliar;33;20
Contaduria;auxiliar;809;20
Logistica;auxiliar;177;20
Gestión de Calidad;auxiliar;96;20
Gastronomia;auxiliar;392;20
Operativo;auxiliar;8041;20
Servicio al cliente;auxiliar;195;20
Marketing;auxiliar;15;20
Financiero;auxiliar;21;20
Operativo;sopladora;5;1
Marketing;head;2;1
Ventas - Comercial - Administración;minina;1;1
Diseño;ii;2;7
Project Manager;ii;3;7
Marketing;ii;1;7
Practicantes - Aprendices;ii;1;7
Salud;ii;3;7
Operativo;ii;21;7
Contaduria;ii;1;7
Operativo;armas;1;1
Educación;monolingues;1;1
Gestión de Calidad;sistematizacion;1;1
Operativo;jardinera;1;1
Operativo;facturaciòn;1;1
Operativo;telecomunicaciones;44;14
Construcción;telecomunicaciones;4;14
Diseño;telecomunicaciones;4;14
Talento TI;telecomunicaciones;5;14
Marketing;telecomunicaciones;3;14
Project Manager;telecomunicaciones;13;14
Ventas - Comercial - Administración;telecomunicaciones;276;14
Logistica;telecomunicaciones;3;14
Servicio al cliente;telecomunicaciones;47;14
Financiero;telecomunicaciones;1;14
Gestión de Calidad;telecomunicaciones;3;14
Ingenierias;telecomunicaciones;3;14
Educación;telecomunicaciones;1;14
Practicantes - Aprendices;telecomunicaciones;11;14
Ventas - Comercial - Administración;segmento;7;1
Operativo;hierro;2;2
Ventas - Comercial - Administración;hierro;1;2
Practicantes - Aprendices;logistico;14;8
Servicio al cliente;logistico;7;8
Contaduria;logistico;2;8
Operativo;logistico;1015;8
Project Manager;logistico;1;8
Compras;logistico;4;8
Ventas - Comercial - Administración;logistico;16;8
Logistica;logistico;97;8
Operativo;tampografia;1;1
Gastronomia;tecnologia;1;17
Operativo;tecnologia;57;17
Talento TI;tecnologia;9;17
Logistica;tecnologia;1;17
Gestión de Calidad;tecnologia;2;17
Practicantes - Aprendices;tecnologia;42;17
SST;tecnologia;2;17
Diseño;tecnologia;1;17
Psicologia;tecnologia;1;17
Project Manager;tecnologia;8;17
Ventas - Comercial - Administración;tecnologia;231;17
Servicio al cliente;tecnologia;17;17
Compras;tecnologia;1;17
Marketing;tecnologia;4;17
Contaduria;tecnologia;4;17
Recursos Humanos;tecnologia;3;17
Educación;tecnologia;7;17
Operativo;aduanas;4;2
Educación;aduanas;1;2
Operativo;lavador;3;1
Ventas - Comercial - Administración;informales;3;1
Psicologia;conexion;1;2
Project Manager;conexion;1;2
Operativo;via;12;6
Salud;via;1;6
Ventas - Comercial - Administración;via;22;6
Logistica;via;5;6
Contaduria;via;1;6
Servicio al cliente;via;28;6
Gestión de Calidad;productividad;2;3
Project Manager;productividad;4;3
Practicantes - Aprendices;productividad;4;3
Operativo;sumas;1;1
Contaduria;exxel;1;1
Salud;ginecobstericia;1;1
Ventas - Comercial - Administración;visado;1;1
Recursos Humanos;complementos;1;1
Talento TI;planeador;1;2
Compras;planeador;1;2
Ventas - Comercial - Administración;inmuebles;5;1
Operativo;cerrito;1;1
Operativo;proteccion;3;3
Project Manager;proteccion;2;3
Talento TI;proteccion;2;3
Ventas - Comercial - Administración;estamos;2;5
Salud;estamos;16;5
Talento TI;estamos;2;5
Operativo;estamos;2;5
Servicio al cliente;estamos;1;5
Operativo;supply;1;2
Logistica;supply;1;2
Juridicos;recaudo;1;4
Operativo;recaudo;13;4
Financiero;recaudo;2;4
Ventas - Comercial - Administración;recaudo;15;4
Juridicos;legal;1;2
Contaduria;legal;1;2
Operativo;terrestre;6;1
Practicantes - Aprendices;mercadeo;27;11
Marketing;mercadeo;230;11
Talento TI;mercadeo;7;11
Educación;mercadeo;3;11
Project Manager;mercadeo;3;11
Diseño;mercadeo;8;11
Operativo;mercadeo;30;11
Compras;mercadeo;1;11
Financiero;mercadeo;1;11
Servicio al cliente;mercadeo;4;11
Ventas - Comercial - Administración;mercadeo;51;11
Operativo;estructuradoredes;1;1
Operativo;helisa;1;2
Contaduria;helisa;7;2
Operativo;aguas;7;1
Ventas - Comercial - Administración;agricolas;1;2
Operativo;agricolas;7;2
Gestión de Calidad;operaciones;1;13
Ventas - Comercial - Administración;operaciones;91;13
Talento TI;operaciones;2;13
Financiero;operaciones;6;13
Compras;operaciones;1;13
Diseño;operaciones;1;13
Servicio al cliente;operaciones;44;13
Operativo;operaciones;91;13
Educación;operaciones;1;13
Construcción;operaciones;1;13
Contaduria;operaciones;5;13
Practicantes - Aprendices;operaciones;2;13
Project Manager;operaciones;9;13
Ventas - Comercial - Administración;grupos;1;1
Ventas - Comercial - Administración;edad;4;1
Operativo;rutas;12;1
Educación;grupo;1;5
Ventas - Comercial - Administración;grupo;155;5
Operativo;grupo;25;5
Project Manager;grupo;1;5
Servicio al cliente;grupo;6;5
Operativo;mesas;4;2
Project Manager;mesas;4;2
Educación;religion;1;1
Talento TI;go;2;1
Salud;carrera;1;2
Practicantes - Aprendices;carrera;7;2
Operativo;belen;1;1
Operativo;manualidades;10;1
Operativo;ubate;1;2
Ventas - Comercial - Administración;ubate;7;2
Talento TI;ccna;10;2
Project Manager;ccna;1;2
Operativo;venir;2;1
Operativo;cajeros;201;2
Ventas - Comercial - Administración;cajeros;4;2
Educación;cartago;1;7
Talento TI;cartago;1;7
Logistica;cartago;1;7
Salud;cartago;4;7
Ventas - Comercial - Administración;cartago;3;7
Operativo;cartago;5;7
Practicantes - Aprendices;cartago;1;7
Recursos Humanos;carreras;1;14
Contaduria;carreras;1;14
Servicio al cliente;carreras;11;14
Compras;carreras;1;14
Construcción;carreras;2;14
Talento TI;carreras;12;14
Financiero;carreras;7;14
Marketing;carreras;2;14
Ventas - Comercial - Administración;carreras;8;14
Diseño;carreras;2;14
Practicantes - Aprendices;carreras;33;14
Agropecuario;carreras;3;14
Operativo;carreras;6;14
Salud;carreras;2;14
Practicantes - Aprendices;judicial;2;1
Operativo;pinar;1;1
Educación;in;1;5
Operativo;in;7;5
Servicio al cliente;in;14;5
Psicologia;in;1;5
Financiero;in;1;5
Ventas - Comercial - Administración;crm;1;4
Talento TI;crm;3;4
Marketing;crm;1;4
Servicio al cliente;crm;1;4
Talento TI;telecomuniaciones;1;1
Servicio al cliente;teleoperadores;7;2
Ventas - Comercial - Administración;teleoperadores;1;2
Operativo;verificaciones;1;1
Ventas - Comercial - Administración;secretaria;10;5
Juridicos;secretaria;2;5
Salud;secretaria;1;5
Contaduria;secretaria;11;5
Operativo;secretaria;11;5
Ventas - Comercial - Administración;ela;6;1
Talento TI;automatizacion;4;5
Ventas - Comercial - Administración;automatizacion;3;5
Practicantes - Aprendices;automatizacion;3;5
Project Manager;automatizacion;1;5
Operativo;automatizacion;16;5
Operativo;quesos;1;1
Talento TI;qaqc;1;1
Financiero;cartagena;1;8
Operativo;cartagena;28;8
Ventas - Comercial - Administración;cartagena;18;8
Salud;cartagena;3;8
Practicantes - Aprendices;cartagena;1;8
Contaduria;cartagena;3;8
Gestión de Calidad;cartagena;2;8
Educación;cartagena;1;8
Ventas - Comercial - Administración;prqs;1;1
Operativo;corrector;1;1
Ventas - Comercial - Administración;jovenes;5;2
Educación;jovenes;1;2
Operativo;miraflex;1;1
Operativo;etiquetado;2;1
Ventas - Comercial - Administración;pep;1;2
Salud;pep;1;2
Operativo;dominospizza;5;1
Ventas - Comercial - Administración;similar;1;1
Diseño;geometrico;2;1
Talento TI;delphi;1;1
Salud;profesionaladmisnitracion;1;1
Operativo;planchon;3;1
Operativo;chasis;2;1
Ventas - Comercial - Administración;studio;6;1
Operativo;desposte;3;1
Talento TI;cpg;1;1
Operativo;ituango;1;1
Diseño;semestre;1;9
Contaduria;semestre;3;9
Practicantes - Aprendices;semestre;12;9
Psicologia;semestre;3;9
Servicio al cliente;semestre;3;9
Salud;semestre;1;9
Operativo;semestre;1;9
Ventas - Comercial - Administración;semestre;6;9
Educación;semestre;1;9
Educación;tiempo;60;11
Talento TI;tiempo;2;11
Ventas - Comercial - Administración;tiempo;201;11
Psicologia;tiempo;1;11
Gastronomia;tiempo;6;11
Financiero;tiempo;1;11
Servicio al cliente;tiempo;19;11
Operativo;tiempo;156;11
Salud;tiempo;21;11
Construcción;tiempo;1;11
Contaduria;tiempo;3;11
Educación;segunda;1;1
Salud;biomedico;38;2
Ventas - Comercial - Administración;biomedico;4;2
Talento TI;spss;2;1
Marketing;escucha;1;1
Practicantes - Aprendices;customer;1;5
Talento TI;customer;2;5
Contaduria;customer;1;5
Marketing;customer;5;5
Servicio al cliente;customer;249;5
Servicio al cliente;angente;7;1
Operativo;resistencia;1;1
Servicio al cliente;basico;8;2
Operativo;basico;69;2
Talento TI;implemtacion;1;1
Operativo;feria;1;4
Salud;feria;1;4
Ventas - Comercial - Administración;feria;1;4
Servicio al cliente;feria;1;4
Talento TI;fronrend;1;1
Operativo;ajustador;43;1
Servicio al cliente;asesorgente;2;1
Servicio al cliente;ktronix;1;1
Educación;relaciones;1;2
Juridicos;relaciones;1;2
Operativo;stock;2;1
Operativo;afiliaciones;2;3
Contaduria;afiliaciones;1;3
Marketing;afiliaciones;1;3
Operativo;licores;5;2
Ventas - Comercial - Administración;licores;15;2
Ventas - Comercial - Administración;comercialnalista;1;1
Operativo;estatica;1;1
Project Manager;iluminaria;1;1
Salud;pyp;44;1
Ventas - Comercial - Administración;bilinguie;1;1
Operativo;abastecimiento;8;5
Compras;abastecimiento;11;5
Practicantes - Aprendices;abastecimiento;2;5
Ventas - Comercial - Administración;abastecimiento;2;5
Servicio al cliente;abastecimiento;1;5
Operativo;aguacatala;2;1
Salud;imagenes;3;2
Operativo;imagenes;1;2
Ventas - Comercial - Administración;comercialaes;1;1
Talento TI;odi;1;1
Ventas - Comercial - Administración;on;7;3
Servicio al cliente;on;3;3
Talento TI;on;13;3
Talento TI;celulas;1;1
Operativo;angosto;5;1
Salud;psiquiatra;7;2
Psicologia;psiquiatra;1;2
Operativo;ft;19;1
Servicio al cliente;off;25;4
Ventas - Comercial - Administración;off;2;4
Financiero;off;1;4
Practicantes - Aprendices;off;1;4
Operativo;orito;2;2
Ventas - Comercial - Administración;orito;1;2
Operativo;auxiiliar;1;1
Operativo;sublimacion;10;1
Operativo;secas;1;1
Operativo;isuzu;1;1
Operativo;enchape;8;1
Ventas - Comercial - Administración;abierta;3;5
Gastronomia;abierta;2;5
Practicantes - Aprendices;abierta;1;5
Operativo;abierta;6;5
Servicio al cliente;abierta;1;5
Diseño;renderizado;4;1
Servicio al cliente;advocate;6;1
Operativo;canoa;1;1
Logistica;cocina;2;4
Gastronomia;cocina;591;4
Ventas - Comercial - Administración;cocina;2;4
Servicio al cliente;cocina;6;4
Gastronomia;generales;7;6
Ventas - Comercial - Administración;generales;4;6
Servicio al cliente;generales;4;6
Salud;generales;4;6
Operativo;generales;421;6
Talento TI;generales;1;6
Servicio al cliente;hiring;8;2
Recursos Humanos;hiring;9;2
Operativo;checking;1;1
Project Manager;encuestas;1;3
Servicio al cliente;encuestas;2;3
Talento TI;encuestas;3;3
Ventas - Comercial - Administración;sentencias;1;1
Ventas - Comercial - Administración;chile;9;1
Servicio al cliente;deseen;1;2
Operativo;deseen;5;2
Operativo;motorizada;1;1
Operativo;nemocon;1;1
Ventas - Comercial - Administración;online;17;4
Educación;online;65;4
Marketing;online;1;4
Servicio al cliente;online;1;4
Operativo;rededores;1;1
Salud;llamada;1;1
Operativo;mdf;3;1
Operativo;sopetran;1;1
Talento TI;nuestros;1;1
Talento TI;cosmetica;1;1
Construcción;interventoria;1;2
Operativo;interventoria;5;2
Salud;posgrado;1;2
Psicologia;posgrado;1;2
Gastronomia;sushi;5;2
Operativo;sushi;2;2
Operativo;uy;1;1
Operativo;novasoft;1;1
Operativo;guarnecedor;1;1
Ventas - Comercial - Administración;sabana;4;3
Operativo;sabana;5;3
Educación;sabana;2;3
Operativo;varios;124;1
Diseño;herramentales;2;1
Operativo;bordadora;2;1
Logistica;telcos;1;3
Ventas - Comercial - Administración;telcos;1;3
Compras;telcos;1;3
Operativo;activador;3;1
Operativo;expendedor;1;1
Practicantes - Aprendices;ogestiondelacalidadetapaproductiva;2;1
Talento TI;ccda;5;1
Operativo;aprovechables;1;2
Ventas - Comercial - Administración;aprovechables;1;2
Recursos Humanos;enfocadas;1;1
Operativo;cierres;2;1
Ventas - Comercial - Administración;acero;1;2
Operativo;acero;12;2
Servicio al cliente;sarlaft;1;3
Talento TI;sarlaft;1;3
Operativo;sarlaft;1;3
Salud;pad;1;1
Operativo;salon;1;1
Servicio al cliente;experienciaagente;1;1
Operativo;logista;1;1
Operativo;cierre;6;1
Servicio al cliente;dinamismo;1;1
Logistica;etiqueta;1;1
Educación;andes;1;2
Financiero;andes;1;2
Salud;domiciliaria;55;3
Operativo;domiciliaria;2;3
Ventas - Comercial - Administración;domiciliaria;10;3
Operativo;grafica;1;3
Diseño;grafica;11;3
Marketing;grafica;1;3
Compras;expresas;3;1
Operativo;adquisicion;1;2
Marketing;adquisicion;1;2
Operativo;peticion;1;1
Ventas - Comercial - Administración;herramientas;4;7
Practicantes - Aprendices;herramientas;1;7
Project Manager;herramientas;1;7
Talento TI;herramientas;2;7
Operativo;herramientas;9;7
Servicio al cliente;herramientas;1;7
Marketing;herramientas;1;7
Diseño;experto;1;8
Talento TI;experto;7;8
Operativo;experto;5;8
Construcción;experto;1;8
Ventas - Comercial - Administración;experto;7;8
Logistica;experto;1;8
Salud;experto;3;8
Servicio al cliente;experto;6;8
Logistica;wms;3;2
Operativo;wms;4;2
Operativo;lamina;5;1
Operativo;flieteadora;1;1
Operativo;librada;3;1
Ventas - Comercial - Administración;falabellaintangibles;1;1
Servicio al cliente;cigarrillos;1;1
Talento TI;electromecanica;1;2
Operativo;electromecanica;35;2
Salud;motorizado;8;4
Servicio al cliente;motorizado;2;4
Operativo;motorizado;327;4
Ventas - Comercial - Administración;motorizado;8;4
Operativo;carniceria;2;1
Ventas - Comercial - Administración;villanueva;1;3
Salud;villanueva;1;3
Operativo;villanueva;1;3
Operativo;dorada;1;1
Practicantes - Aprendices;micribiologia;1;1
Operativo;grasa;2;1
Salud;citotecnologa;5;1
Diseño;carmen;1;3
Ventas - Comercial - Administración;carmen;2;3
Operativo;carmen;3;3
Operativo;security;4;1
Educación;teachers;2;1
Operativo;turbo;35;2
Practicantes - Aprendices;turbo;1;2
Operativo;trefilacion;1;1
Operativo;cordova;1;1
Operativo;operarias;95;1
Operativo;cortadora;2;1
Marketing;comunicadora;1;1
Ventas - Comercial - Administración;mascotas;2;3
Diseño;mascotas;1;3
Operativo;mascotas;1;3
Contaduria;contableinventarios;1;1
Operativo;fuller;11;1
Talento TI;xamarinforms;1;1
Operativo;matelmecanica;1;1
Practicantes - Aprendices;con;1;6
Servicio al cliente;con;6;6
Financiero;con;2;6
Ventas - Comercial - Administración;con;6;6
Operativo;con;7;6
Salud;con;1;6
Operativo;entre;1;1
Operativo;segovia;6;3
Agropecuario;segovia;1;3
Ventas - Comercial - Administración;segovia;1;3
Servicio al cliente;alturas;1;5
Construcción;alturas;6;5
Logistica;alturas;1;5
Operativo;alturas;89;5
SST;alturas;1;5
Psicologia;perspectiva;1;1
Financiero;rappipay;1;1
Servicio al cliente;asesora;7;5
Operativo;asesora;4;5
Gestión de Calidad;asesora;1;5
Contaduria;asesora;3;5
Ventas - Comercial - Administración;asesora;235;5
Operativo;autogena;2;1
Talento TI;css;1;1
Salud;agropecuario;1;3
Agropecuario;agropecuario;29;3
Ventas - Comercial - Administración;agropecuario;7;3
Operativo;pasillo;5;1
Ventas - Comercial - Administración;santamarta;1;2
Operativo;santamarta;1;2
Operativo;cerdo;1;1
Servicio al cliente;porciento;4;1
Ventas - Comercial - Administración;pap;131;3
Servicio al cliente;pap;4;3
Operativo;pap;14;3
Talento TI;estudias;2;1
Ventas - Comercial - Administración;epscall;3;1
Educación;hotelera;1;1
Ventas - Comercial - Administración;jrasesor;1;1
Operativo;u;67;5
Gastronomia;u;1;5
Ventas - Comercial - Administración;u;4;5
Talento TI;u;1;5
Servicio al cliente;u;5;5
Operativo;tat;219;4
Servicio al cliente;tat;4;4
Ventas - Comercial - Administración;tat;416;4
Back Office;tat;14;4
Operativo;electrostatico;3;1
Servicio al cliente;conovocatoria;2;1
Ventas - Comercial - Administración;deportiva;4;2
Operativo;deportiva;4;2
Ventas - Comercial - Administración;optico;3;2
Operativo;optico;1;2
Project Manager;certficado;1;1
Marketing;digitalizacion;5;1
Ventas - Comercial - Administración;textiles;3;3
Gestión de Calidad;textiles;2;3
Operativo;textiles;7;3
Ventas - Comercial - Administración;recolector;1;3
Operativo;recolector;18;3
Servicio al cliente;recolector;2;3
Diseño;dibujante;30;5
Talento TI;dibujante;6;5
Gestión de Calidad;dibujante;1;5
Operativo;dibujante;4;5
Construcción;dibujante;2;5
Educación;dministrador;1;1
Servicio al cliente;recibe;2;1
Operativo;subalmacenista;1;1
Operativo;mto;1;1
Operativo;extendedor;3;1
Ventas - Comercial - Administración;cuidades;1;1
Psicologia;decimo;2;1
Talento TI;data;70;1
Talento TI;django;3;1
Contaduria;siesa;3;1
Operativo;saludrchivo;1;1
Salud;ingenierio;1;1
Compras;abastecimientos;1;1
Operativo;consultoras;1;1
Talento TI;certificion;1;1
Recursos Humanos;seleccion;2;6
Ventas - Comercial - Administración;seleccion;9;6
Practicantes - Aprendices;seleccion;1;6
Servicio al cliente;seleccion;2;6
Operativo;seleccion;9;6
Psicologia;seleccion;51;6
Talento TI;domiciliarios;1;2
Operativo;domiciliarios;100;2
Operativo;cerrajero;3;1
Talento TI;minimo;1;6
Operativo;minimo;46;6
Servicio al cliente;minimo;4;6
Ventas - Comercial - Administración;minimo;16;6
Contaduria;minimo;1;6
Practicantes - Aprendices;minimo;1;6
Operativo;mixto;14;2
Ventas - Comercial - Administración;mixto;14;2
Operativo;distribuido;3;1
Marketing;estratega;2;2
Ventas - Comercial - Administración;estratega;2;2
Construcción;geologo;2;1
Salud;hemodialisis;1;1
Operativo;candelaria;5;2
Construcción;candelaria;1;2
Operativo;improntas;1;1
Contaduria;señior;1;2
Talento TI;señior;1;2
Ventas - Comercial - Administración;colchones;2;2
Operativo;colchones;7;2
Operativo;silos;3;1
Ventas - Comercial - Administración;fotografia;2;4
Diseño;fotografia;2;4
Marketing;fotografia;1;4
Operativo;fotografia;1;4
Salud;regular;3;1
Ventas - Comercial - Administración;telecmunicaciones;1;1
Talento TI;script;1;1
Financiero;ciencias;3;3
Ventas - Comercial - Administración;ciencias;1;3
Educación;ciencias;17;3
Operativo;carrier;1;1
Ventas - Comercial - Administración;premium;1;3
Servicio al cliente;premium;1;3
Marketing;premium;1;3
Operativo;dispensario;3;1
Contaduria;rrhh;1;2
Recursos Humanos;rrhh;17;2
Practicantes - Aprendices;comfama;3;1
Salud;aplicando;1;1
Financiero;cantada;4;2
Ventas - Comercial - Administración;cantada;17;2
Operativo;transferencista;108;3
Ventas - Comercial - Administración;transferencista;18;3
Servicio al cliente;transferencista;2;3
Operativo;mercaderistaspreventistasasesores;3;1
Operativo;distribuccion;1;1
Ventas - Comercial - Administración;arauca;7;5
Operativo;arauca;1;5
Financiero;arauca;1;5
Salud;arauca;1;5
Agropecuario;arauca;1;5
Contaduria;r;1;2
Servicio al cliente;r;4;2
Operativo;pulper;1;1
Operativo;asociados;10;1
Salud;enfermerajefe;2;1
Servicio al cliente;servicia;1;1
Operativo;concierto;1;1
Operativo;transmisiones;1;1
Talento TI;framework;1;1
Operativo;bosa;1;2
Ventas - Comercial - Administración;bosa;2;2
Ventas - Comercial - Administración;decoracion;6;2
Operativo;decoracion;1;2
Ventas - Comercial - Administración;duitama;22;4
Operativo;duitama;13;4
Financiero;duitama;1;4
Salud;duitama;1;4
Operativo;termoplastico;1;1
Salud;pares;3;1
Contaduria;contratar;1;1
Ventas - Comercial - Administración;minima;11;5
Servicio al cliente;minima;6;5
Contaduria;minima;1;5
Operativo;minima;20;5
Talento TI;minima;1;5
Talento TI;based;1;1
Talento TI;agiles;1;1
Operativo;operacionestecnico;3;1
Servicio al cliente;volume;1;1
Servicio al cliente;administrativoscon;1;1
Servicio al cliente;sistemasdministrativos;1;1
Operativo;tejedor;14;1
Salud;certificados;1;1
Ventas - Comercial - Administración;deportivos;1;2
Operativo;deportivos;2;2
Operativo;microbus;10;1
Salud;pediatrico;2;1
Ventas - Comercial - Administración;itinerante;1;2
Psicologia;itinerante;1;2
Operativo;cromado;1;1
Ventas - Comercial - Administración;vendiendo;1;1
Talento TI;cementos;1;1
Operativo;paletizador;2;1
Educación;idiomas;6;1
Ventas - Comercial - Administración;termino;8;3
Gestión de Calidad;termino;1;3
Operativo;termino;4;3
Diseño;electricos;3;3
Operativo;electricos;10;3
Project Manager;electricos;2;3
Talento TI;machine;1;1
Operativo;correctivo;10;2
Construcción;correctivo;2;2
Gastronomia;conscientes;12;1
Operativo;suplente;1;1
Servicio al cliente;your;2;1
Operativo;arbolado;1;1
Operativo;punzonador;1;1
Ventas - Comercial - Administración;mascota;1;1
Operativo;pedido;3;1
Construcción;pesados;1;3
Ventas - Comercial - Administración;pesados;6;3
Operativo;pesados;57;3
Operativo;currier;1;1
Ventas - Comercial - Administración;fabalella;1;1
Operativo;leños;3;1
Operativo;semicontinua;1;1
Operativo;cauchos;1;1
Operativo;electroestatico;3;1
Ventas - Comercial - Administración;inbound;2;1
Operativo;turbos;1;1
Ventas - Comercial - Administración;caqueta;1;1
Operativo;radicacion;1;1
Operativo;marino;1;1
Financiero;nivel;3;14
Talento TI;nivel;4;14
Compras;nivel;1;14
Ventas - Comercial - Administración;nivel;6;14
Salud;nivel;1;14
Operativo;nivel;18;14
Servicio al cliente;nivel;29;14
Marketing;nivel;1;14
Gastronomia;nivel;4;14
Project Manager;nivel;12;14
Diseño;nivel;2;14
Practicantes - Aprendices;nivel;3;14
Psicologia;nivel;1;14
Educación;nivel;14;14
