Categoria;Palabras clave;Frecuencia al interior del grupo;Frecuencia entre los grupos
Diseño;arquitectura;2;4
Practicantes - Aprendices;arquitectura;4;4
Construcción;arquitectura;19;4
Ventas - Comercial - Administración;team;1;4
Servicio al cliente;team;14;4
Financiero;team;1;4
Operativo;team;1;4
Ventas - Comercial - Administración;aii;2;1
Ventas - Comercial - Administración;mype;5;2
Financiero;mype;3;2
Servicio al cliente;rampa;2;2
Operativo;rampa;3;2
Educación;of;1;4
Financiero;of;1;4
Marketing;of;2;4
Servicio al cliente;of;1;4
Operativo;novasof;1;1
Operativo;doble;72;1
Gastronomia;station;1;2
Operativo;station;1;2
Ventas - Comercial - Administración;independiente;7;1
Practicantes - Aprendices;dho;1;1
Operativo;efecty;2;1
Servicio al cliente;titulo;1;3
Ventas - Comercial - Administración;titulo;2;3
Gestión de Calidad;titulo;1;3
Diseño;senior;4;17
Ventas - Comercial - Administración;senior;49;17
Talento TI;senior;168;17
Recursos Humanos;senior;1;17
Servicio al cliente;senior;11;17
Operativo;senior;21;17
Construcción;senior;2;17
Marketing;senior;11;17
Compras;senior;1;17
Project Manager;senior;6;17
Financiero;senior;7;17
Educación;senior;1;17
Psicologia;senior;3;17
Agropecuario;senior;1;17
Gestión de Calidad;senior;1;17
Contaduria;senior;12;17
SST;senior;3;17
Operativo;numerico;8;2
Talento TI;numerico;3;2
Salud;noches;7;1
Operativo;exterios;1;1
Talento TI;database;2;1
Talento TI;automotriz;1;7
Gestión de Calidad;automotriz;1;7
Ventas - Comercial - Administración;automotriz;16;7
Compras;automotriz;5;7
Practicantes - Aprendices;automotriz;1;7
Servicio al cliente;automotriz;2;7
Operativo;automotriz;229;7
Ventas - Comercial - Administración;sogamoso;16;4
Financiero;sogamoso;2;4
Salud;sogamoso;2;4
Practicantes - Aprendices;sogamoso;1;4
Ventas - Comercial - Administración;constructoras;2;1
Talento TI;webecommerce;1;1
Operativo;out;1;1
Salud;ginecobstetricia;4;1
Operativo;bolsas;1;1
Talento TI;visibilidad;1;1
Educación;infles;1;1
Compras;retail;1;9
Servicio al cliente;retail;16;9
Psicologia;retail;1;9
Financiero;retail;1;9
Marketing;retail;3;9
Talento TI;retail;2;9
Diseño;retail;2;9
Operativo;retail;17;9
Ventas - Comercial - Administración;retail;140;9
Operativo;cabina;1;1
Operativo;estilo;1;1
Ventas - Comercial - Administración;cierto;1;1
Servicio al cliente;h;2;3
Salud;h;10;3
Operativo;h;8;3
Gestión de Calidad;garantia;7;1
Operativo;melgar;4;1
Ventas - Comercial - Administración;hipotecarias;1;1
Operativo;cosmeticos;6;3
Gestión de Calidad;cosmeticos;1;3
Ventas - Comercial - Administración;cosmeticos;2;3
Marketing;and;11;5
Financiero;and;2;5
Servicio al cliente;and;5;5
Operativo;and;2;5
Talento TI;and;2;5
Contaduria;asiste;1;1
Talento TI;agentcommission;1;1
Operativo;taxi;8;1
Ventas - Comercial - Administración;contac;5;2
Servicio al cliente;contac;12;2
Practicantes - Aprendices;claustro;1;1
Marketing;piezas;1;3
Diseño;piezas;1;3
Operativo;piezas;4;3
Operativo;disposicion;1;1
Ventas - Comercial - Administración;ceja;4;3
Operativo;ceja;3;3
Salud;ceja;1;3
Talento TI;jsp;3;1
Operativo;montacaguista;2;1
Ventas - Comercial - Administración;tulua;11;5
Salud;tulua;3;5
Operativo;tulua;7;5
Practicantes - Aprendices;tulua;1;5
Contaduria;tulua;2;5
Practicantes - Aprendices;clarosena;2;1
Ventas - Comercial - Administración;apartamentos;1;1
Operativo;wet;2;1
Contaduria;movimiento;1;1
Ventas - Comercial - Administración;conduccion;1;4
Salud;conduccion;1;4
Educación;conduccion;1;4
Operativo;conduccion;29;4
Ventas - Comercial - Administración;yolombo;1;3
Construcción;yolombo;1;3
Salud;yolombo;1;3
Salud;culminado;2;3
Ventas - Comercial - Administración;culminado;5;3
Servicio al cliente;culminado;1;3
Operativo;albañil;1;1
Ventas - Comercial - Administración;pacho;2;1
Diseño;uraba;1;1
Ventas - Comercial - Administración;risaralda;4;1
Ventas - Comercial - Administración;dirigidas;1;1
Salud;santa;2;5
Practicantes - Aprendices;santa;1;5
Operativo;santa;13;5
Ventas - Comercial - Administración;santa;7;5
Agropecuario;santa;1;5
Psicologia;institucional;1;3
Ventas - Comercial - Administración;institucional;10;3
Salud;institucional;2;3
Ventas - Comercial - Administración;cancelacion;2;1
Operativo;fraudes;1;2
Financiero;fraudes;2;2
Educación;tipo;1;3
Ventas - Comercial - Administración;tipo;2;3
Operativo;tipo;49;3
Gestión de Calidad;hplc;1;1
Servicio al cliente;telefoniatv;1;1
Ventas - Comercial - Administración;infraestructura;1;4
Construcción;infraestructura;22;4
Talento TI;infraestructura;124;4
Practicantes - Aprendices;infraestructura;4;4
